var_name,var_label,var_fmt,var_fmt_proposed,choicelist,var_min,var_max,var_length,identifier,var_restrictions,var_note,action
act_code,NIH Activity Code,CHAR,varchar(3),,,,3,,,"A 3-character code identifying the grant, contract, or intramural activity through which a project is supported. Within each funding mechanism, NIH uses 3- character activity codes (e.g., F32, K08, P01, R01, T32, etc.) to differentiate the wide variety of research-related programs NIH supports. A comprehensive list of activity codes for grants and cooperative agreements may be found on the Types of Grant Programs Web page. RePORTER also includes R&D contracts (activity codes beginning with the letter N) and intramural projects (beginning with the letter Z).; activity_code",
adm_ic,Administering Institute or Center Abbreviation,VARCHAR,TEXT,"['NIDA', 'NIMH', 'NCATS', 'OD', 'NINDS', 'NCCIH', 'NCI', 'NIAMS', 'NIA', 'NIDDK', 'NIBIB', 'NHLBI', 'NICHD', 'NINR', 'NIDCR', 'NIGMS', 'NIMHD', 'NIAID', 'FIC', 'NIAAA', 'NLM']",,,,,,"Administering Institute or Center: Name abbreviation for NIH Institute, or Center.; agency_ic_admin.abbreviation",
adm_ic_code,Administering Institute or Center Code,CHAR,TEXT,"['DA', 'MH', 'TR', 'OD', 'NS', 'AT', 'CA', 'AR', 'AG', 'DK', 'EB', 'HL', 'HD', 'NR', 'DE', 'GM', 'MD', 'AI', 'TW', 'AA', 'LM']",,,,,,"Administering Institute or Center: A two-character code to designate the agency, NIH Institute, or Center administering the grant.; agency_ic_admin.code",
adm_ic_nm,Administering Institute or Center Name,VARCHAR,VARCHAR(250),,,,250,,,"Administering Institute or Center: Full name of the administering agency, Institute, or Center; agency_ic_admin.name",
amt_dir,Total direct cost funding for fiscal year,INT,INT,,0,41327976,,,,"Total direct cost funding for a project from all NIH Institute and Centers for a given fiscal year. Costs are available only for NIH awards funded in FY 2012
onward. Direct cost amounts are not available for SBIR/STTR awards.; direct_cost_amt",
appl_id,Application ID,VARCHAR(8),VARCHAR(8),,,,8,PK,,A unique identifier of the project record in the RePORTER database; appl_id,
arra_fund,ARRA funded,CHAR,VARCHAR(1),,,,,,,“Y” indicates a project supported by funds appropriated through the American Recovery and Reinvestment Act of 2009.; arra_funded,
awd_not_date,Award notice date,DATETIME,DATE,,2018-02-27T12:02:00Z,2023-09-26T12:09:00Z,,,,The Notice of Grant Award issue date.; award_notice_date,
awd_ty,Award type,varchar(2),varchar(2),"['3', '1', '5', '8', '4N', '7', '2', '9', '4C', '6']",,,2,,,"A single-digit code identifying the type of application received and processed. Application type codes include the following:
1 = New application 
2 = Competing continuation (also, competing renewal) 
3 = Application for additional (supplemental) support. There are two kinds of Type 3 competing revisions (which are peer-reviewed and administrative supplements) 
4 = Competing extension for an R37 award or first non-competing year of a Fast-Track SBIR/STTR award. This includes the following Type 4 subclassifications: 4C = Competing Type 4 4N = Noncompeting Type 4 
5 = Non-competing continuation 
6 = Change of Organization Status (Successor-In-Interest) 
7 = Change of grantee institution 
8 = Change of Institute or Division (Type 5 transfer to another NIH IC) 
9 = Change of NIH awarding Institute or Division (on a competing continuation); award_type",
bgt_end,Budget end date for fiscal year,DATETIME,date,,2019-01-31T12:01:00Z,2026-09-30T12:09:00Z,,,,The date when a project’s funding for a particular fiscal year ends.; budget_end,
bgt_strt,Budget start date for fiscal year,DATETIME,date,,2017-07-01T12:07:00Z,2023-09-30T12:09:00Z,,,,The date when a project’s funding for a particular fiscal year; budget_start,
cr_pro_num,Core Project Number,CHAR,varchar(11),,,,255,,,"An identifier for each research project, used to associate the project with publication and patent records. This identifier is not specific to any particular year of the project. It consists of the project activity code, administering IC, and serial number (a concatenation of Activity, Administering_IC, and Serial_Number).; core_project_num",
ctc_pi_nm,Contact PI Name,VARCHAR,varchar(150),,,,150,,,"When multiple PD/PIs are designated, NIH requires that the applicant organization identify one of the PD/PIs as the Contact PD/PI to serve as a primary point of contact. Serving as Contact
PD/PI confers no special authorities or responsibilities within the project team; contact_pi_name",
date_added,date_added,DATETIME,DATE,,2018-02-27T12:02:00Z,2023-09-26T12:09:00Z,,,,Date Added is the date when an awarded project record is added to the RePORTER site.,
fisc_yr,Fiscal year appropriation,INT,INT,,2018,2023,,,,The fiscal year appropriation from which project funds were obligated.; fiscal_year,
ful_foa,,varchar,varchar(15),,,,25,,,,
fund_ic,Funding Institute or Center Abbreviation(s),VARCHAR,TEXT,"['NIDA', 'NIMH', 'NCATS', 'OD', 'NINDS', 'NCCIH', 'NCI', 'NIAMS', 'NIA', 'NIDDK', 'NIBIB', 'NHLBI', 'NICHD', 'NINR', 'NIDCR', 'NIGMS', 'NIMHD', 'NIAID', 'FIC', 'NIAAA', 'NLM']",,,,,; separator,The NIH Institute or Center(s) providing funding: Name abbreviation for NIH Institute or Center. ; agency_ic_fundings.abbreviation,
fund_ic_nm,Funding Institute or Center Name,VARCHAR,varchar(400),,Eunice Kennedy Shriver National Institute of Child Health and Human Development,National Institute on Drug Abuse;National Institute on Minority Health and Health Disparities,400,,,"The NIH Institute or Center(s) providing funding: Full Name for NIH Institute, or Center. ; agency_ic_fundings.name",
fund_mech,Funding mechanism,varchar(25),TEXT,"['Non-SBIR/STTR', 'Other Research-Related', 'Research Centers', 'SBIR/STTR', 'Other', 'R and D Contracts', 'Intramural Research']",,,,,,"The major mechanism categories used in NIH Budget mechanism tables for the President’s budget. Extramural research awards are divided into three main funding mechanisms: grants, cooperative agreements, and contracts. A funding mechanism is the type of funded application or transaction used at the NIH. Within each funding mechanism NIH includes programs. Programs can be further refined by specific activity codes. RP = Non-SBIR/STTR Research Projects SB = SBIR/STTR Research Projects RC = Research Centers OR = Other Research-Related TR = Training, Individual, TI = Training, Institutional, CO = Construction Grants NSRDC = Non-SBIR/STTR Contracts SRDC = SBIR/STTR Contracts IAA = Interagency Agreements IM = Intramural Research OT = Other UK = Unknown CP = Cancer Control; funding_mechanism",
ic_fund_code,Funding Institute or Center Code(s),VARCHAR,TEXT,"['DA', 'MH', 'TR', 'OD', 'NS', 'AT', 'CA', 'AR', 'AG', 'DK', 'EB', 'HL', 'HD', 'NR', 'DE', 'GM', 'MD', 'AI', 'TW', 'AA', 'LM']",,,,,; separator,"The NIH Institute or Center(s) providing funding: A two-character code to designate the agency, NIH Institute, or Center administering the grant. ; agency_ic_fundings.code",
ic_fund_yr,Funding Institute or Center fiscal award year(s),VARCHAR,INT,"['2019', '2019;2019', '2020', '2019;2019;2019', '2021', '2022', '2020;2020', '2021;2021', '2021;2021;2021', '2022;2022', '2022;2022;2022', '2021;2021;2021;2021', '2022;2022;2022;2022', '2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;', '2023', '2023;2023', '2018', '2018;2018', '2018;2018;2018', '2020;2020;2020']",,2023;2023,,,; separator,"Fiscal year for the federal government during which an
award is made.; agency_ic_fundings.fy",
indct_cst_amt,Indirect costs (for fiscal year),INT,INT,,0,16435463,,,,Total indirect cost funding for a project from all NIH Institute and Centers for a given fiscal year. Costs are available only for NIH awards funded in FY 2012 and onward. Indirect cost amounts are not available for SBIR/STTR awards.; indirect_cost_amt,
org_nm,Organization name,VARCHAR,varchar(100),,,,100,,,"The name of the educational institution, research organization, business, or government agency receiving funding for the grant, contract, cooperative agreement, or intramural project.; organization.org_name",
phr_text,Project's health impact,varchar,TEXT,,,,,,,"Submitted as part of a grant application, this statement articulates a project's potential to improve public health.; phr_text",
pi,PI Full Name(s),varchar,varchar(200),,,,200,,; separator,The name(s) of the Principal Investigator(s) designated by the organization to direct the research project.; principal_investigators.full_name,
pi_fst_nm,PI First Name(s),varchar,varchar(100),,,,100,,; separator,The first name of the Principal Investigator(s) designated by the organization to direct the research project.; principal_investigators.first_name,
pi_is_ctc,Indicates which PI is the contact person,varchar,varchar(100),"['TRUE', 'False;False;True', 'True;False', 'False;True', 'True;False;False', 'True;False;False;False', 'False;False;False;True', 'False;False;True;False', 'True;False;False;False;False', 'False;True;False', 'False;True;False;False', 'True', 'False;False;True;False;False', 'True;False;False;False;False;False;False', 'False;False;False;True;False', 'False;True;False;False;False', 'False;False;True;False;False;False', 'False;False;False;False;True']",,,85,,; separator,Indicates whether the PI is the contact person; principal_investigators.is_contact_pi,
