HDP ID,Project number,Active status,Archive date,Study name,Year Awarded,Registered,Clinical Trials ID,SLMD completion %,Repository selection,Data link(s) submitted,VLMD submitted - Data Dictionary,VLMD submitted - CDE,HEAL Research Program,NIH RePORTER link,Study PIs,DOI Identifier
HDP00001,1R43DA046998-01,live,,Development of a multiplex peptide array to identify patients with an autoantibody signature for chronic pain,2019,No,,11.5,,,No,No,Small Business Programs,https://reporter.nih.gov/project-details/9608089,Martyn  Darby,
HDP00002,1U24HD107621-01,live,,HEAL Evaluation of Limited Pharmacotherapies for Neonatal Opioid Withdrawal Syndrome (HELP for NOWS) - Data Coordinating Center,2021,Yes,,17.3,NICHD DASH,,Yes,No,Advancing Clinical Trials in Neonatal Opioid Withdrawal (ACT NOW),https://reporter.nih.gov/project-details/10378283,Abhik  Das,
HDP00003,1U01DA055343-01,archived,2024-05-30T13:43:29.646239,1/2 Assessing the Cumulative Impact of Early Life Substance and Environment Exposure on Child Neurodevelopment and Health,2021,No,,11.5,,,No,No,HEALthy Brain and Child Development Study (HBCD),https://reporter.nih.gov/project-details/10381103,"Viren Andrew D'Sa, Sean CL Deoni",
HDP00004,1K24AT011995-01,archived,2024-08-22T14:57:46.930602,Providing training in effective non-opioid options for the treatment of pain conditions.,2021,No,,11.5,,,No,No,,https://reporter.nih.gov/project-details/10439270,Ardith Z Doorenbos,
HDP00005,1U24NS113850-01,archived,2023-08-22T13:45:13.587225,Clinical Coordinating Center for the Health Initiative in Early Phase Pain Investigation Clinical Network,2019,No,,11.5,,,No,No,Early Phase Pain Investigation Clinical Network (EPPIC-Net),https://reporter.nih.gov/project-details/9867358,"Robert H Dworkin, ROBERT R EDWARDS, MAURIZIO  FAVA, JAMES P. RATHMELL",
HDP00006,1R34DA050285-01,archived,2024-08-06T11:25:05.951825,3/5 The Cumulative Risk of Substance Exposure and Early Life Adversity on Child Health Development and Outcomes,2019,No,,11.5,,,No,No,HEALthy Brain and Child Development Study (HBCD),https://reporter.nih.gov/project-details/9900258,Nathan A Fox,
HDP00007,1U18EB029257-01,live,,Temporal Patterns of Spinal Cord Stimulation,2019,Yes,,46.2,SPARC,https://doi.org/10.26275/aexe-anbk,No,No,Translating Discoveries into Effective Devices to Treat Pain,https://reporter.nih.gov/project-details/9898687,Warren M. Grill,
HDP00008,1UG3DA054799-01,live,,Development of Lofexidine as a First-line Non-Opioid Pharmacologic Treatment for Neonatal Opioid Withdrawal Syndrome,2021,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/10320676,"Kristen Leann Gullo, Randal  Seburg",
HDP00009,1U18EB029354-01,live,,Treating pain in sickle cell disease by means of focused ultrasound neuromodulation,2019,Yes,,69.2,Figshare,"https://doi.org/10.6084/m9.figshare.24867198, https://doi.org/10.6084/m9.figshare.25036925, https://doi.org/10.6084/m9.figshare.25006901, https://doi.org/10.6084/m9.figshare.24867261, https://doi.org/10.6084/m9.figshare.25036364, https://doi.org/10.6084/m9.figshare.25036019, https://doi.org/10.6084/m9.figshare.25006955",No,No,Translating Discoveries into Effective Devices to Treat Pain,https://reporter.nih.gov/project-details/9932691,BIN  HE,10.60490/HDP00009
HDP00010,1UG1DA049467-01,archived,2025-01-07T13:03:11.983069,Great Lakes Node of the Drug Abuse Clinical Trials Network,2019,No,,11.5,,,No,No,Enhancing the National Drug Abuse Treatment Clinical Trials Network to Address Opioids,https://reporter.nih.gov/project-details/9839124,Niranjan  Karnik,
